Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71307205,2,"Monday, November  9, 2009 10:39:19 UTC",38.7735,-122.7430,1.9,1.90,58,"Northern California"
ak,10019449,2,"Monday, November  9, 2009 10:34:35 UTC",51.5075,177.4064,2.8,14.90,09,"Rat Islands, Aleutian Islands, Alaska"
ak,10019918,2,"Monday, November  9, 2009 09:57:42 UTC",61.4876,-146.6529,1.1,19.90,11,"Southern Alaska"
ci,10494381,M,"Monday, November  9, 2009 09:57:10 UTC",36.4076,-117.8688,1.2,5.10,18,"Central California"
ak,10019446,2,"Monday, November  9, 2009 09:54:44 UTC",61.3679,-150.6605,1.5,50.80,24,"Southern Alaska"
nc,71307185,2,"Monday, November  9, 2009 09:39:34 UTC",37.9542,-118.6197,1.5,7.90,36,"Central California"
pr,p0931307,1,"Monday, November  9, 2009 09:28:58 UTC",19.0818,-66.4410,2.6,14.30, 7,"Puerto Rico region"
nc,71307175,2,"Monday, November  9, 2009 09:23:16 UTC",38.8157,-122.8188,1.3,2.60,44,"Northern California"
ak,10019445,2,"Monday, November  9, 2009 09:08:36 UTC",54.6611,-160.8835,2.9,11.20,15,"Alaska Peninsula"
nm,hnw1109c,A,"Monday, November  9, 2009 08:56:42 UTC",35.2244,-92.4165,2.4,2.80,10,"Arkansas"
pr,p0931305,1,"Monday, November  9, 2009 08:55:58 UTC",19.0123,-66.4605,2.8,5.70,10,"Puerto Rico region"
pr,p0931304,1,"Monday, November  9, 2009 08:54:26 UTC",18.9362,-66.4343,2.9,1.00,10,"Puerto Rico region"
hv,00035823,1,"Monday, November  9, 2009 08:46:08 UTC",19.8775,-155.4052,1.9,33.00,00,"Island of Hawaii, Hawaii"
pr,p0931302,1,"Monday, November  9, 2009 08:40:53 UTC",19.7648,-66.4283,3.2,7.20,10,"Puerto Rico region"
pr,p0931303,1,"Monday, November  9, 2009 08:32:31 UTC",18.3432,-64.2767,3.2,84.90,15,"Virgin Islands region"
ci,10494341,1,"Monday, November  9, 2009 08:22:33 UTC",34.6945,-116.2991,1.3,4.60,19,"Southern California"
nc,71307145,4,"Monday, November  9, 2009 07:54:36 UTC",40.4685,-121.5417,1.7,5.30,10,"Lassen Peak area, California"
ak,10019442,2,"Monday, November  9, 2009 07:36:01 UTC",62.6917,-149.5275,1.3,4.00,18,"Central Alaska"
us,2009nuak,7,"Monday, November  9, 2009 07:31:18 UTC",8.9356,-83.9778,4.7,35.00,24,"Costa Rica"
nc,71307135,4,"Monday, November  9, 2009 07:21:55 UTC",37.6172,-119.0448,1.5,5.90,29,"Central California"
nc,71307130,3,"Monday, November  9, 2009 07:15:46 UTC",40.3440,-123.6345,1.6,20.30,15,"Northern California"
nc,71307120,4,"Monday, November  9, 2009 07:13:01 UTC",40.4705,-121.5407,1.9,5.50,12,"Lassen Peak area, California"
ci,10494325,M,"Monday, November  9, 2009 07:02:53 UTC",36.3950,-117.9001,1.0,6.10,09,"Central California"
nn,00297408,2,"Monday, November  9, 2009 06:56:15 UTC",36.8620,-116.1620,1.8,6.20,52,"Nevada"
us,2009nuai,6,"Monday, November  9, 2009 06:19:11 UTC",-24.4788,-175.5393,5.0,10.00,55,"south of Tonga"
ak,10019439,2,"Monday, November  9, 2009 06:03:30 UTC",60.8977,-152.3082,1.3,12.60,13,"Southern Alaska"
nc,71307110,5,"Monday, November  9, 2009 05:56:28 UTC",35.9547,-119.9292,1.6,3.90,40,"Central California"
nc,71307100,2,"Monday, November  9, 2009 05:47:37 UTC",38.7690,-123.0372,1.8,4.60,50,"Northern California"
ak,10019436,2,"Monday, November  9, 2009 05:43:17 UTC",60.8341,-146.0881,1.8,20.00,30,"Southern Alaska"
ak,10019907,2,"Monday, November  9, 2009 05:41:06 UTC",62.1617,-150.1570,1.1,8.70,10,"Central Alaska"
ak,10019435,2,"Monday, November  9, 2009 05:26:21 UTC",53.9509,-166.5806,1.5,10.10,10,"Fox Islands, Aleutian Islands, Alaska"
nc,71307090,4,"Monday, November  9, 2009 05:12:34 UTC",38.8153,-122.8180,1.4,2.70,41,"Northern California"
ak,10019434,2,"Monday, November  9, 2009 05:10:13 UTC",65.0686,-148.7026,1.1,18.60,12,"northern Alaska"
ci,10494309,1,"Monday, November  9, 2009 05:06:11 UTC",33.9043,-116.7978,1.5,15.40,68,"Southern California"
ak,10019903,2,"Monday, November  9, 2009 04:45:36 UTC",59.8172,-151.3843,1.9,46.20,16,"Kenai Peninsula, Alaska"
hv,00035820,0,"Monday, November  9, 2009 04:21:49 UTC",19.1072,-154.3873,1.7,17.00,00,"Hawaii region, Hawaii"
ak,10019433,2,"Monday, November  9, 2009 04:21:20 UTC",62.3886,-152.5548,1.2,17.10,12,"Central Alaska"
